,Decade,Year,Date,Time,Location,Operator,Op_Code,Route,AC Type,Make_Type,Aboard,Fatalities,Accident_Code,Summary
2881,1971-1980,1977,02/28/1977,15:00,"Near Saglouc, Canada",Survair,Passenger,Unknown,Douglas DC-3,Douglas,10.0,4.0,War,Crashed in whiteout conditions. Possible spatial disorientation on final.
2882,1971-1980,1977,03/01/1977,15:00,"Off Aden, Yemen",Alyemda,Passenger,Aden - Al Kari,Douglas DC-3,Douglas,21.0,19.0,Machine Issue,Crashed into the ocean. Engine failure.
2883,1971-1980,1977,03/03/1977,15:00,"Near Cascina, Italy",Military - Italian Air Force,Military,Training,Lockheed C-130H,Lockheed,44.0,44.0,Unknown,The aircraft crashed into cloud obscured  Mt. Serra shortly after taking off from San Giusto Airport at Pisa. The plane was seen making a evasive maneuver before slamming into the mountain peak.
2884,1971-1980,1977,03/04/1977,03:35,"Niamey, Niger",Overseas National Airways,Passenger,"Paris, France - Niamey, Nigher",McDonnell Douglas DC-8-63CF,McDonnell,4.0,2.0,Landing/Takeoff,The cargo plane crashed short of the runway while attempting to land.  The crew continued the approach below the glide until impact with ground.
2885,1971-1980,1977,03/27/1977,17:07,"Tenerife, Canary Islands",Pan American World Airways / KLM,Passenger,Tenerife - Las Palmas / Tenerife - Las Palmas,Boeing B-747-121 / Boeing B-747-206B,Boeing,644.0,583.0,War,"Both aircraft were diverted to Tenerife because of a bombing at Las Palmas Airport. After an extended delay,  both planes were instructed to back track up the runway. The KLM plane reached its takeoff point while the Pan Am plane was still on the runway. The Pan Am plane continued up the runway missing the taxiway turnout. There was heavy fog on the runway. The KLM plane began its takeoff roll without permission with the Pan Am plane still on the runway. The controller and Pan Am pilot each radioed a warning to the KLM plane, but were not heard because the simultaneous transmissions interfered with each other.The KLM plane hit the Pan Am plane just as it was taking off. Both planes burst into flames.  KLM 234 + 14 crew,  Pan Am 326 + 9 crew killed. All aboard the KLM plane were killed. The KLM captain was their safety officer and for some months had  been training other pilots using a simulator, where getting takeoff permission was not simulated. The Pan Am aircraft was named Clipper Victor. The KLM aircraft was named Rhine River. Despite all the circumstances the KLM plane was blamed for taking off without permission by the NTSB."
2886,1971-1980,1977,03/29/1977,15:00,"Bainaha Valley, Indonesia",Merpati Nusantara Airlines,Passenger,Palu - Toli Toli,de Havilland Canada DHC-6 Twin Otter 300,de,23.0,15.0,Unknown,"After spotting a mountain in front of him, the pilot applied full power and went into a steep climb. The plane stalled and crashed into trees."
2887,1971-1980,1977,03/30/1977,08:39,"Near Zhadanof, Russia",Aeroflot,Passenger,	Dnepropetrovsk - 	Zhdanov,Yakovlev YAK-40,Yakovlev,27.0,8.0,War,"The crew continued their visual approach after entering an area of fog with visibility less than 500 m and losing sight of the ground. After deciding to go around, the right wing hit a 9-meter high pole. The wing caught fire and the number 2 engine failed. The fuselage hit the ground sideways in a field about 1,500 meters from the runway. The plane broke up and caught fire. The pilot-in-command decided to continue the approach below the glide under VFR mode in IMC conditions."
2888,1971-1980,1977,04/04/1977,16:19,"New Hope, Georgia",Southern Airways,Passenger,Huntsville - Atlanta,McDonnell Douglas DC-9-31,McDonnell,85.0,62.0,War,The aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. The plane crash landed on a highway and exploded in flames. Total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. The hail clogged bleeder valves in the engines causing multipe engine surges until the compressors tore apart. Contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.
2889,1971-1980,1977,04/10/1977,15:00,"SW of Bogota, Colombia",El Venado,Passenger,Villavicencio - Bogota,Douglas DC-3-3A,Douglas,35.0,35.0,Unknown,Crashed on the slopes of the Rio Guape mountains. Found 1 month later. Deviation from course.
2890,1971-1980,1977,04/19/1977,15:00,"Tapa AFB, Estonia",Military - Soviet Air Force,Military,Parnu - Tapa,Antonov An-24,Antonov,21.0,21.0,Landing/Takeoff,Crashed into a building while attempting to land in snow and poor visibility.
2891,1971-1980,1977,04/27/1977,15:00,"Guatemala City, Guatemala",Aviateca,Passenger,Unknown,Convair CV-440,Convair,28.0,28.0,Human Error,Failure of the No. 1 engine due to lack of oil. Mantenance error. Incorrectly connected high pressure oil hose.
2892,1971-1980,1977,05/10/1977,20:30,"Near Jericho, Jordan",Military - Israel Air Force,Military,Unknown,Sikorsky CH-53D (helicopter),Sikorsky,54.0,54.0,War,Crashed and exploded in the desert shortly after taking off . Crew error. Flight at an unsafe altitude into an area of unfamiliar terrain.
2893,1971-1980,1977,05/13/1977,08:45,"Beiruit, Lebanon",LOT Polish Airlines,Passenger,"Varna, Bulgaria  - Beiruit, Lebanon",Antonov An-12BP,Antonov,9.0,9.0,Landing/Takeoff,The cargo plane struck power lines and trees while attempting to land.
2894,1971-1980,1977,05/14/1977,09:33,"Near Lusaka, Zambia",IAS Cargo,Others,"Nairobi, Kenya  - Luskaka, Zambia",Boeing 707-321C,Boeing,6.0,6.0,Machine Issue,"The elevator assembly separated in mid-flight. The plane nose dived and crashed. The in-flight separation of the right hand horizontal stabilizer and elevator as a result of a combination of metal fatigue and inadequate failsafe design in the rear spar structure. Shortcomings in design assessment, certification and inspection procedures were contributory factors."
2895,1971-1980,1977,05/16/1977,17:35,"New York, New York",New  York Helicopter,Passenger,Pan Am building - JFK Airport,Sikorsky S61L,Sikorsky,25.0,4.0,Landing/Takeoff,"While passengers were loading aboard the helicopter on top of the Pan Am building, the landing  gear collapsed causing the helicopter to tip on its side.  Four people, waiting to board the craft  were killed by the rotating blades. One of the blades tore loose and struck a window breaking in two. One-half of the blade then sailed two blocks striking and killing a pedestrian, 800 feet below the heliport. Fatigue failure of the upper right forward fitting of the right main landing gear tube assembly. The fatigue originated from a small surface pit of undetermined source."
2896,1971-1980,1977,05/27/1977,08:45,"Havana, Cuba",Aeroflot,Passenger,Lisbon - Havana,Ilyushin IL-62M,Ilyushin,69.0,67.0,Landing/Takeoff,Struck power lines and crashed 1 m from the runway while attempting to land.
2897,1971-1980,1977,06/03/1977,15:00,"Natal, Brazil",Military - Brazilian Air Force,Military,Unknown,Embraer C-95 Bandeirante,Embraer,18.0,18.0,Unknown,Unknown
2898,1971-1980,1977,06/20/1977,15:00,"Salto-Nueva Hesperides, Uruguay",Fuerza Aérea Uruguaya,Passenger,Carrasco - Salto-Nueva Hesperides,Embraer 110C Bandeirante,Embraer,15.0,12.0,Unknown,Crashed into trees while making an ILS approach.
2899,1971-1980,1977,06/21/1977,22:30,Off Wake Island,Military - U.S. Navy,Military,Wake-Agana,Lockheed EC-130Q,Lockheed,16.0,16.0,War,Crashed into the Pacific Ocean and exploded moments after taking off from Wake Island Air Base. The plane rose no higher than 400 ft. before crashing one mile from the end of the runway.
2900,1971-1980,1977,07/06/1977,23:30,"Saint Louis, Missouri",Fleming International Airways,Passenger,"Saint Louis, MO - Detroit, MI",Lockheed L-188AF Electra,Lockheed,3.0,3.0,Machine Issue,"After taking off the cargo plane's No. 2 engine did not develop power, the plane rolled to the right and crashed. Attempted operation with known deficiencies in equipment. Failed to follow approved procedures. Inadequate maintenance and inspection."
2901,1971-1980,1977,07/08/1977,15:00,"Off Kirovograd, Ukraine",Aeroflot,Passenger,Unknown,Antonov AN-24,Antonov,7.0,6.0,Unknown,Crashed into the Black Sea shortly after taking off from Kirovograd.
2902,1971-1980,1977,07/14/1977,12:30,"Near Cuangar, Angola",Military - Angolan Air Force,Military,Unknown,Antonov AN-26,Antonov,30.0,30.0,War,Shot down by rebels near the Namibia border as it took off.
2903,1971-1980,1977,07/20/1977,15:00,"	Vitim, Russia",Aeroflot,Passenger,	Vitim - Irkutsk,Ilyushin IL-14M,Ilyushin,40.0,40.0,Landing/Takeoff,"The crew attempted to take off in tailwind, stalled, contacted trees and crashed"
2904,1971-1980,1977,07/20/1977,17:30,"Jima, Ethiopia",Ethiopian Airlines,Passenger,Tippi - Jima,Douglas DC-3,Douglas,5.0,5.0,Weather,"The cargo plane crashed into a mountainside in poor weather, visibility and rain showers."
2905,1971-1980,1977,07/24/1977,19:00,"Near Puerto Montt, Chile",Military - Chilean Air Force,Military,Punta Arenas - Santiago,Douglas DC-6B,Douglas,82.0,38.0,Landing/Takeoff,Crashed into a swamp and burst into flames as it attempted to land in heavy rain at night.
2906,1971-1980,1977,07/25/1977,08:00,"Near Yoro, Honduras",Military - Honduran Air Force,Military,Yoro - Honduran,Douglas C-47,Douglas,40.0,25.0,War,The left engine exploded in flight and the plane crashed into mountainous terrain. Plane was overloaded with passengers.
2907,1971-1980,1977,08/01/1977,12:36,"Encino, California",Private KNBC Los Angeles,Passenger,Burbank - Santa Barbara,Bell 206B JetRanger,Bell,2.0,2.0,War,"The helicopter, piloted by Francis Gary Powers, 48, crashed in Balboa Park on the way back from covering a news story on a brush fire in Santa Barbara. Francis Gary Powers was famous for piloting the U-2 spy plane in 1960 that was shot down by the Russians and caused a major political crisis for President Eisenhower.  Powers was a helicopter pilot and newscaster for KNBC in Los Angeles. Power's cameraman was also killed. The helicopter apparently ran out of fuel."
2908,1971-1980,1977,08/20/1977,21:06,"San Jose, Costa Rica",Monarch Aviation,Passenger, Catalina Island-Long Beach,Convair CV-880,Convair,3.0,3.0,Unknown,"The cargo plane took off struck trees, crashed and burned."
2909,1971-1980,1977,08/25/1977,05:40,"Kona, Hawaii",Island Airways,Passenger,Honolulu-Kailua Kona,Shorts SC-7 Skyvan 3-200,Shorts,2.0,2.0,Unknown,"The cargo plane stalled, went into a spin and crashed short of the runway. Failure to maintain flying speed."
2910,1971-1980,1977,09/02/1977,08:38,Off Hong Kong,Transmeridian Air Cargo,Others,Hong Kong-Bangkok,Canadair CL-44D4-2,Canadair,4.0,4.0,Fire,"The No. 4 engine failed shortly after taking off. A fire developed and the plane crashed into the ocean. A loss of control following in-flight separation of the right-hand outboard wing section and the No.4 engine. These failures followed a No.4 engine failure, an internal engine fire and a fire in the aircraft fuel system eventually resulting in a massive external fire."
2911,1971-1980,1977,09/04/1977,15:00,"Near Cuenca, Ecuador",Servicios Aereos Nacionales Airways,Passenger,Guayaquil - Cuenca,Vickers Viscount 764D,Vickers,33.0,33.0,Weather,Struck a mountain peak in the Cajas mountains  in poor weather . Flying VFR in IFR conditions.
2912,1971-1980,1977,09/06/1977,14:52,"Mt. Iliamna, Alaska",Alaska Aeronautical Industries,Passenger,Iliamna - Anchorage,de Havilland Canada DHC-6 Twin Otter 200,de,13.0,13.0,Machine Issue,"Crashed in level flight  into Mt. Iliamna glacier at 7,000 feet. Failure of the flight crew to use proper navigational procedures for the route being flown especially their failure to use the available backup means of navigation to verify the position and progress of the flight. Recovery of bodies or wreckage not possible."
2913,1971-1980,1977,09/08/1977,15:00,"Mt. Loi Hsam Hsao, Burma",Burma Airways,Passenger,Mongasat - Keng Tung,de Havilland Canada DHC-6 Twin Otter 300,de,19.0,19.0,Unknown,Crashed in the jungles of eastern Burma.
2914,1971-1980,1977,09/12/1977,00:12,"Yakutat, Alaska",Safe Air Cargo,Others,Yakutat - Anchorage,Douglas DC-7BF,Douglas,4.0,4.0,Machine Issue,The cargo plane did not gain altitude after taking off and crashed into trees 2.5 miles from the runway. The aircraft was overloaded and lost an engine on takeoff.
2915,1971-1980,1977,09/14/1977,23:48,"Near Albuquerque, New Mexico",Military - U.S. Air Force,Military,Kirtland AFB - Nellis AFB,Boeing - EC-135K,Boeing,20.0,20.0,Unknown,Crashed into a mountain peak in the Manzano range shortly after taking off and making a right bank. The aircraft was observed flying too low and did not heed the controller's warnings. Fatigue may have played a part in the accident.
2916,1971-1980,1977,09/22/1977,16:59,"Bucharest, Romania",Malev Hungarian Airlines,Passenger,Istanbul - Bucharest,Tupolev TU-134,Tupolev,53.0,29.0,Weather,Crashed short of the runway. The aircraft was being flown at reduced power and went unnoticed by the crew until it struck the ground in level flight..
2917,1971-1980,1977,09/27/1977,15:00,"Kuala Lumpur,  Malaysia",Japan Air Lines,Passenger,Tokyo-Hong Kong-Kuala Lumpur,McDonnell Douglas DC-8-62H,McDonnell,79.0,34.0,Human Error,The aircraft struck a hill 4 miles short of the runway while on  a VOR approach during a thunderstorm. Crew error. Descended below MDA.
2918,1971-1980,1977,10/20/1977,18:52,"Near Gillsburg, Mississippi",L & J Company,Passenger,Greenville - Baton Rouge,Convair CV-300,Convair,26.0,6.0,Fire,"The crew diverted to Mc Comb because of low fuel. Both engines quit before the aircraft could land and a forced landing was attempted in a wooded area. The plane struck trees before it could make a forced landing in an open field. Lead singer Ronnie Van Zant, 29, guitarist Stevie Gaines, back up vocalist Cassie Gaines and assistant manager Dean Kilpatrick of the Lynyrd Skynyrd band killed.  Several other members of the band were seriously injured. Fuel exhaustion due to crew inattention of the fuel supply. Contributing factors were improper flight planning and a malfunction in the No.2 engine which caused a higher than normal fuel consumption."
2919,1971-1980,1977,10/21/1977,10:30,"Mindoro, Philippines",Military - U.S. Marine Corps,Military,Unknown,Sikorksky CH-53 (helicopter),Sikorksky,37.0,24.0,Human Error,"After lifting a water container the aircraft began rotating until control was lost and contact was made with the ground, shearing off the tail rotor and a large portion of the tail assembly. New engines were installed in the CH-53s to increase the power of the main rotor and on a whole to make the helicopter more powerful. However, it was soon evident that the tail rotor could not balance the increased power created by the main rotor. Under certain conditions the aircraft would become unstable and lose directional heading. Sikorsky warns of these conditions. To compensate for the mistake that had been made, Sikorsky designed and tested a bell crank system to stabilize the rear rotor. After seven years, this helicopter was still not retrofitted with the bell crank system. Gross weight of the container exceeded the lifting capacity of the helicopter. No restrains used by the passengers."
2920,1971-1980,1977,11/03/1977,15:00,"San Cristobal de las Casas, Mexico",Servicios Aereos Martinez Leon,Passenger,Palenque - San Cristobal de las Casas,Britten-Norman BN-2A-8 Trislander,Britten-Norman,13.0,13.0,War,"Exploded, crashed and burned on approach."
2921,1971-1980,1977,11/19/1977,04:12,"Rome, Italy",Ethiopian Airlines,Passenger,"Rome, Italy - Asmara, Ethiopia",Boeing 707-360C,Boeing,5.0,5.0,Unknown,The cargo plane failed to gain altitude and crashed into trees.
2922,1971-1980,1977,11/19/1977,21:48,"Near Funchal, Island of Madeira, Portugal",TAP (Air Portugal),Passenger,Brussels - Funchal,Boeing B-727-282,Boeing,164.0,131.0,War,"The aircraft landed 1,000 ft. past the aiming point of the runway in heavy rain, overran the runway and plunged off a cliff during a third landing attempt. Hydroplaning, due to poor drainage on the runway. Excessive speed during landing. In the last attempt, the plane was 44 ft high in the begining of the runway flying at 150 kt. Then a sudden tail wind increases the speed to 155 kt. Cross winds from several directions made the plane unstable. Tail winds alternated with frontal winds making the speed unstable. The plane only hit the runway after 800m. The same cross winds make it impossible to align to the center of the runway. Then aquaplaning did the rest."
2923,1971-1980,1977,11/21/1977,10:04,"Near Bariloche, Argentina",Austral Lineas Aeras (Argentina),Passenger,Buenos  Aires - San Carlos de Bariloche,BAC One-Eleven 420EL,BAC,79.0,46.0,Human Error,The flight crashed into high ground after a second landing attempt. Procedural error by the crew during the final approach in that they abandoned the ILS procedure. This was influenced by the interruption of the VOR signal.
2924,1971-1980,1977,11/26/1977,02:30,"Near Beziers, France",Military - French Air Force,Military,Mont-de-Marsan-Hyères,Nord 2501 Noratlas,Nord,32.0,32.0,Weather,Crashed into mountains north of the city in fog and adverse weather conditions.
2925,1971-1980,1977,12/02/1977,15:00,"Near Al Bayda, Lebanon",Balkan Bulgarian Airlines,Passenger,Jeddah - Benghazi,Tupolev TU-154B,Tupolev,165.0,59.0,Landing/Takeoff,"After not being able to land at the scheduled airport due to fog, the crew could not find the alternate airport, ran out of fuel and crashed."
2926,1971-1980,1977,12/04/1977,20:36,"Straits of Johore, near Kampung Ladang, Malaysia",Malaysia Airlines,Passenger,Penang - Kuala Lumpur,Boeing B-737-2H6,Boeing,100.0,100.0,Terrorism,"During a hijacking and while descending from 21,000 to 7,000 feet, both pilots were shot and the aircraft crashed into a swamp."
2927,1971-1980,1977,12/08/1977,12:00,"Intracostal City, Louisiana",Petroleum Helicopter,Passenger,Unknown,SNIAS SA330J,SNIAS,19.0,17.0,Unknown,Collided with cable crane. Crane operator failed to park crane boom in stowed position.
2928,1971-1980,1977,12/09/1977,19:25,"Tarko-Saley, USSR",Aeroflot,Passenger,Tarko-Sale - Surgut,Antonov AN-24,Antonov,23.0,17.0,Unknown,The plane took off at night and entered a steep attitude after the flaps were raised and crashed.
2929,1971-1980,1977,12/11/1977,11:20,"Hierro, Canary Islands",Military - U.S. Navy,Military,Lajes-Lajes,Lockheed P-3B Orion,Lockheed,13.0,13.0,Unknown,"While on patrol the plane flew into a 4,200 ft. mountain at 1,200 ft."
2930,1971-1980,1977,12/13/1977,19:22,"Evansville, Indiana","National Jet Services Inc.,  (Air Indiana)",Passenger,Evansville - Nashville,Douglas DC-3,Douglas,29.0,29.0,Weather,"The plane crashed during takeoff in rain and fog. Killed, were the entire Evansville basketball team. The aileron on one wing and rudder remained locked upon takeoff, which made it extremely difficult to bank. An attempted takeoff with the rudder and right aileron control locks installed, in combination with a rearward center of gravity. Improperly loaded luggage which resulted in rearward center of gravity which resulted in the aircraft's rotating to a nose-high attitude immediately after takeoff and entering the region of reversed command from which the pilot was unable to recover."
2931,1971-1980,1977,12/18/1977,01:38,"Near Salt Lake City, Utah",United Air Lines,Passenger,"San Francisco, CA - Salt Lake City, Utah",Douglas DC-8-54F,Douglas,3.0,3.0,Machine Issue,"While in a holding pattern because of electrical problems the cargo plane cashed into 7,600 ft. mountain. The approach controller's issuance and the flight crew's acceptance of an incomplete and ambiguous holding clearance in combination with the flight crew's failure to adhere to prescribed impairment-of-communications procedures and prescribed holding procedures. The controller's and flight crew's actions are attributed to probable habits of imprecise communication and of imprecise adherence to procedures developed through years of exposure to operations in a radar environment. Contributing to the accident was the failure of the aircraft's No.1 electrical system for unknown reasons."
2932,1971-1980,1977,12/18/1977,20:14,"Off Madeira, Portugal",SATA,Passenger,Zurich-Genève-Funchal,Aerospatiale Caravelle 10R,Aerospatiale,57.0,36.0,Human Error,Ditched into the ocean while on a second approach. Crew error. Sensory illusion.
2933,1971-1980,1977,12/19/1977,07:48,"Vieques, Puerto Rico",Vieques Air Link,Passenger,"St Croix, VI - Vieques, PR",Britten-Norman BN-2A Islander,Britten-Norman,10.0,5.0,Fire,The plane made a forced landing in the ocean. Fuel exhaustion. Inadequate preflight planning. Mismanagement of fuel.
2934,1971-1980,1977,12/24/1977,15:00,"Willemstad, Curacao, Netherlands Antilles",Valley Air Service,Passenger,Charlotte Amalie-Willemstad,Piper PA-31-350 Navajo,Piper,10.0,10.0,Unknown,Unknown
2935,1971-1980,1977,12/29/1977,15:00,"Cuenca, Ecuador",Servicios Aereos Nacionales,Passenger,Guayaquil - Cuenca,Vickers Viscount 764 D,Vickers,24.0,24.0,Landing/Takeoff,Crashed into a hill while descending for a landing. Flying under VFR in IFR conditions.
2936,1971-1980,1978,01/01/1978,20:41,"Off Bandra, Maharashtra, India",Air India,Passenger,Bombay - Dubai,Boeing B-747-237B,Boeing,213.0,213.0,War,"Following a right turn, after taking off, the plane rolled to the left beyond 90 degrees, went into a steep dive, crashed and exploded in shallow water. Irrational control wheel inputs on the part of the captain after his attitude director indicator malfunctioned leading to complete loss of situational awareness."
2937,1971-1980,1978,01/27/1978,13:55,"Near San Vincente, Colombia",SADELCA,Passenger,Neiva - San Vincente,Douglas DC-3,Douglas,14.0,14.0,Weather,"Struck Cerro Granada, at 6800 feet in mountain fog."
2938,1971-1980,1978,01/31/1978,15:00,"Eirunepe, Brazil",TABA,Passenger,Unknown,Embraer 110P Bandeirante,Embraer,14.0,2.0,Unknown,Crashed during takeoff.
2939,1971-1980,1978,02/10/1978,11:20,"Near Artigas, Uruguay",Uruguayan Air Force,Passenger,Artigas - Montevideo,Douglas C-47A-DL,Douglas,44.0,44.0,Landing/Takeoff,The passenger flight attempted to make an emergency landing at Artigas Airport when it had taken off from.  An engine failure was followed by a wide banking turn and crash to the ground bursting into flames.
2940,1971-1980,1978,02/10/1978,16:50,"Richland, Washington",Columbia Pacific Airlines,Passenger,"Richland, WA - Seattle, WA",Beechcraft 99,Beechcraft,17.0,17.0,Human Error,The aircraft crashed shortly after taking off from Richland after climbing to 400 feet and stalling. Crew error.  The failure and inability of the flightcrew to prevent rapid pitchup and stall by exerting sufficient push force on the control wheel. The pitchup was caused by the combination of a mistrimmed horizontal stabilizer and a center of gravity near the aircraft's aft limit. The mistrimmed condition resulted from discrepancies in the aircraft's trim system and the flightcrew's preoccupation with making a timely departure. The out-of-trim warning system was inoperative.
2941,1971-1980,1978,02/11/1978,12:55,"Cranbrook, British Columbia, Canada",Pacific Western Airlines,Passenger,Calgary - Cranbrook,Boeing B-737-275,Boeing,49.0,42.0,Human Error,"The aircraft touched down just as the crew noticed a snow plow on the runway. A go-around was initiated but the thrust reverses did not stow away properly because hydraulic power was automatically cut off at lift-off.  The aircraft missed the plow, overran the runway, crashed and burned. Estimated time of arrival given by Calgary ATC in error. Crew did not report over its final approach beacon."
2942,1971-1980,1978,02/28/1978,10:30,"Solvang, California",Security Air,Passenger,Visalia - Santa Barbara - Santa Maria,Aero Commander 500A,Aero,7.0,7.0,Weather,Continued VFR flight into adverse weather conditions.
2943,1971-1980,1978,03/01/1978,09:25,"LAX, Los Angeles, California",Continental Airlines,Passenger,Los Angeles - Honolulu,McDonnell Douglas DC-10-10,McDonnell,200.0,2.0,Fire,"While approaching V1 speed on takeoff, a loud bang was heard followed by shaking of the aircraft. The crew decided to abort the takeoff. With the end of the runway approaching, the captain steered the aircraft off the runway to the right. The landing gear failed and resulted in a fire. The plane slid for approximately 650 feet and came to rest 40 feet right of the runway centerline. Several passengers not heeding the warnings of the stewardess exited onto the wing and fell into the fire. Failure of two tires on the left main landing gear resulting in failure of a third tire during a critical point in the takeoff. This was to be pilot Gene Hershe's last flight before retiring."
2944,1971-1980,1978,03/02/1978,12:43,"Kano, Nigeria",Nigeria Airways,Passenger,Abuja - Kano,Fokker F-28 Fellowship 1000 / MiG-21,Fokker,18.0,18.0,Landing/Takeoff,Midair collision. The Fokker collided with the MiG which was performing touch-and-go landings. Error by the MiG pilot. Sixteen killed on the Fokker and two on the MiG.
2945,1971-1980,1978,03/03/1978,15:00,"Off Caracas, Venezuela",LAV - Linea Aeropostal Venezolana,Passenger,Caracas - Cumana,British Aerospace 748 2A,British,47.0,47.0,Machine Issue,The aircraft crashed into the ocean shortly after takeoff due to problems with the artificial horizon. The pilot radioed he was having an instrument failure. The plane the banked to the left and crashed into the sea.
2946,1971-1980,1978,03/16/1978,13:00,"Vrastsa, Bulgaria",Balkan Bulgarian Airlines,Passenger,Sofia - Warszawa,Tupolev TU-134,Tupolev,73.0,73.0,Machine Issue,Crashed shortly after takeoff. An undetermined emergency of some kind occurred during the climb after takeoff resulting in loss of control of the aircraft.
2947,1971-1980,1978,03/22/1978,20:42,"Near Riverside, California",Lake Havasu Air,Passenger,"Santa Ana, CA - Lake Havasu, AZ",Cessna T207A,Cessna,6.0,6.0,Weather,Crashed into a mountain in fog.  Continued VFR flight into adverse weather conditions.
2948,1971-1980,1978,03/25/1978,06:55,"Okaraba, Burma",Burma Airways,Passenger,Yangon - Myitkyina,Fokker F-27 Friendship 200,Fokker,48.0,48.0,Unknown,"After an explosion, the aircraft went spinning into the ground and crashed into a field."
2949,1971-1980,1978,04/04/1978,23:20,"Off Galveston, Texas",Air Logistics,Passenger,Unknown,Bell 212,Bell,6.0,3.0,Human Error,The helicopter was attempting to land on an oil drilling platform. The co-pilot suffered spatial disorientation and stalled helicopter and crashed.
2950,1971-1980,1978,04/05/1978,16:45,"St. Thomas, Virgin Islands",Antilles Air,Passenger,"St. John, VI - St. Croix, VI",Grumman G-21,Grumman,9.0,2.0,Fire,Made a forced landing in water. Fuel starvation. Inattentiveness to fuel supply. Fuel selector positioned between tanks.
2951,1971-1980,1978,04/20/1978,22:17,"Near Murmansk, Russia",Korean Airlines,Passenger,Paris - Seoul,Boeing B-707-321B,Boeing,109.0,2.0,Fire,"The aircraft, which deviated off course, suffered rapid decompression after being fired upon by a Russian fighter. The aircraft made an emergency landing on a frozen lake."
2952,1971-1980,1978,04/29/1978,15:00,"Bogota, Colombia",LAC Colombia,Passenger,Bogota - Barranquilla,Douglas C-118A,Douglas,12.0,8.0,Landing/Takeoff,Crashed on farmland six miles outside of Bogota shortly after taking off.
2953,1971-1980,1978,05/08/1978,21:20,"Pensacola, Florida",National Airlines,Passenger,"Miami, FL - Pensacola, FL - Mobile, AL",Boeing B-727-235,Boeing,58.0,3.0,Landing/Takeoff,"The aircraft crashed while attempting a non-precision instrument approach to Pensacola and landed in 12 feet of water, 3 nm short of the runway. Failure of the crew to monitor altitude and descent rate and the failure of the 1st officer to provide the captain with the required altitude and approach performance call-outs. Also the flight engineer disabled the GPWS alarm so the crew could hear one another better. In addition, the night flight had been diverted from its primary airport due to poor weather and was required to execute a compressed approach (descending and approaching more quickly and steeply than normal), and the crucial altimeter readout was an old drum-roll-counter type (due to be replaced), which could easily be misread, especially in  heavy workload situations. Three fatalities occurred when the frightened passengers grabbed their seat cushions and exited the plane from the rear. They drowned in part because their seat cushions were not flotation cushions. The airplane was not required to have floatation cushions because it was not flying over water."
2954,1971-1980,1978,05/19/1978,13:32,"Pochinok, Russia",Aeroflot,Passenger,Baku - Leningrad,Tupolev TU-154B,Tupolev,134.0,4.0,Fire,The flight engineer accidentally shut off the automatic transferring of fuel from the sump tank. Eventually all three engines stopped and the plane crashed. Fuel starvation.
2955,1971-1980,1978,06/23/1978,15:00,"Saint John's, Newfoundland",Gander Aviation,Passenger, Saint John's - Saint Anthony,Beech Queen Air A80,Beech,10.0,10.0,Landing/Takeoff,Crashed in heavy fog while attempting to take off.
2956,1971-1980,1978,06/26/1978,15:00,"Off Bergen, Norway",Helikopter Service,Passenger,Bergen - Stratjford-A,Sikorsky S-61N,Sikorsky,18.0,18.0,Unknown,The helicopter crashed 87 miles northwest of Bergen on a ferry run to an oil drillilng platform.
2957,1971-1980,1978,06/26/1978,08:08,"Toronto, Canada",Air Canada,Passenger,Toronto - Winnipeg,McDonnell Douglas DC-9-32,McDonnell,107.0,2.0,Machine Issue,"The aircraft overran the runway and crashed into a revine after an aborted takeoff due to a blown tire. The No. 3 tire failed on takeoff and debris damaged the right gear 'down and locked' switch, causing a gear unsafe indication in the cockpit. Debris was also ingested by the No. 2 engine causing a loss of reverse thrust during the rejected takeoff."
2958,1971-1980,1978,08/14/1978,15:00,"Sogamoso, Bolivia",Aeropeca,Passenger,Bucaramanga-Leticia-La Paz,Curtiss C-46,Curtiss,18.0,18.0,Weather,"The aircraft, flying VFR, collided with a mountain in deteriorating weather condtions after being blown off course which went unnoticed because of lacking navigational equipment."
2959,1971-1980,1978,08/26/1978,15:00,"Papun, Burma",Burma Airways,Passenger,Papun-Rangoon,de Havilland Canada DHC-6 Twin Otter 300,de,14.0,14.0,Unknown,Crashed shortly after taking off from runway 18.
2960,1971-1980,1978,08/30/1978,07:47,"Las Vegas, Nevada",Las Vegas Airlines,Passenger,"Las Vegas, NV - Santa Ana, CA",Piper PA-31-350 Chieftain,Piper,10.0,10.0,Unknown,"Crashed on takeoff. Down elevator control stop backed out, limiting down elevator travel to 1 1/2 degrees of normal 20 degrees."
2961,1971-1980,1978,09/03/1978,15:00,"Conakry, Guinea",Air Guinee,Passenger,Conakry - Bamako,Ilyushin IL-18,Ilyushin,17.0,15.0,Unknown,Crashed in a swamp.
